contractSymbol,expiration,option_type,strike,IV_mid,vendor_iv,computed_minus_vendor_iv,abs_computed_minus_vendor_iv
SPY20260621P00540000,2026-06-21,put,540.0,0.8262380643829054,0.2538,0.5724380643829053,0.5724380643829053
SPY20260621C00560000,2026-06-21,call,560.0,0.6641217331615779,0.2283,0.43582173316157785,0.43582173316157785
SPY20260621P00560000,2026-06-21,put,560.0,0.6820824809986278,0.2283,0.4537824809986278,0.4537824809986278
SPY20260621C00580000,2026-06-21,call,580.0,0.49803768916915914,0.2037,0.29433768916915914,0.29433768916915914
SPY20260621C00600000,2026-06-21,call,600.0,0.2848662273655366,0.18,0.10486622736553658,0.10486622736553658
SPY20260621P00600000,2026-06-21,put,600.0,0.29907904520192186,0.18,0.11907904520192186,0.11907904520192186
SPY20260621C00620000,2026-06-21,call,620.0,0.4869337372237761,0.203,0.2839337372237761,0.2839337372237761
SPY20260621P00620000,2026-06-21,put,620.0,0.502968929456791,0.203,0.29996892945679093,0.29996892945679093
SPY20260621C00640000,2026-06-21,call,640.0,0.6296005924570505,0.2252,0.40440059245705046,0.40440059245705046
SPY20260621P00640000,2026-06-21,put,640.0,0.6484188181302788,0.2252,0.4232188181302788,0.4232188181302788
SPY20260621P00660000,2026-06-21,put,660.0,0.762028452099899,0.2467,0.515328452099899,0.515328452099899
SPY20260719C00540000,2026-07-19,call,540.0,0.45070170141250454,0.2638,0.18690170141250456,0.18690170141250456
SPY20260719P00540000,2026-07-19,put,540.0,0.4899195381743814,0.2638,0.2261195381743814,0.2261195381743814
SPY20260719C00560000,2026-07-19,call,560.0,0.3904206491073836,0.2383,0.1521206491073836,0.1521206491073836
SPY20260719P00560000,2026-07-19,put,560.0,0.42602264532293577,0.2383,0.18772264532293576,0.18772264532293576
SPY20260719C00580000,2026-07-19,call,580.0,0.3177308621907998,0.2137,0.10403086219079982,0.10403086219079982
SPY20260719P00580000,2026-07-19,put,580.0,0.350534569905417,0.2137,0.13683456990541698,0.13683456990541698
SPY20260719P00600000,2026-07-19,put,600.0,0.2576055642419066,0.19,0.06760556424190661,0.06760556424190661
SPY20260719C00620000,2026-07-19,call,620.0,0.31484624010446494,0.213,0.10184624010446494,0.10184624010446494
SPY20260719P00620000,2026-07-19,put,620.0,0.3478668714297768,0.213,0.1348668714297768,0.1348668714297768
SPY20260719C00640000,2026-07-19,call,640.0,0.3777978221052867,0.2352,0.14259782210528668,0.14259782210528668
SPY20260719P00640000,2026-07-19,put,640.0,0.4142372261595483,0.2352,0.17903722615954829,0.17903722615954829
SPY20260719C00660000,2026-07-19,call,660.0,0.4247740213968736,0.2567,0.1680740213968736,0.1680740213968736
SPY20260918C00540000,2026-09-18,call,540.0,0.3175788703770209,0.2738,0.04377887037702094,0.04377887037702094
SPY20260918P00540000,2026-09-18,put,540.0,0.37819722902475483,0.2738,0.10439722902475485,0.10439722902475485
SPY20260918C00560000,2026-09-18,call,560.0,0.2875108290459457,0.2483,0.03921082904594572,0.03921082904594572
SPY20260918P00560000,2026-09-18,put,560.0,0.343855516891567,0.2483,0.09555551689156702,0.09555551689156702
SPY20260918C00580000,2026-09-18,call,580.0,0.24940737540107402,0.2237,0.025707375401074012,0.025707375401074012
SPY20260918P00580000,2026-09-18,put,580.0,0.3027430164892767,0.2237,0.0790430164892767,0.0790430164892767
SPY20260918C00600000,2026-09-18,call,600.0,0.20145621195401817,0.2,0.001456211954018155,0.001456211954018155
SPY20260918P00600000,2026-09-18,put,600.0,0.2532508125126641,0.2,0.053250812512664114,0.053250812512664114
SPY20260918C00620000,2026-09-18,call,620.0,0.250213826083595,0.223,0.02721382608359499,0.02721382608359499
SPY20260918P00620000,2026-09-18,put,620.0,0.3033426949751359,0.223,0.08034269497513588,0.08034269497513588
SPY20260918C00640000,2026-09-18,call,640.0,0.28459621837870586,0.2452,0.039396218378705855,0.039396218378705855
SPY20260918P00640000,2026-09-18,put,640.0,0.34107434609612997,0.2452,0.09587434609612996,0.09587434609612996
SPY20260918C00660000,2026-09-18,call,660.0,0.30906887480056844,0.2667,0.042368874800568446,0.042368874800568446
SPY20260918P00660000,2026-09-18,put,660.0,0.3701310085663515,0.2667,0.10343100856635151,0.10343100856635151
