contractSymbol,price_source,input_price,implied_volatility,solver_status,failure_reason,solver_iterations,solver_lower_bound,solver_upper_bound,pricing_error
SPY20260621P00540000,bid,6.19,0.8067842018664033,success,,26,1e-06,5.0,-3.839406126360245e-09
SPY20260621P00540000,mid,6.6,0.8262380643829054,success,,29,1e-06,5.0,9.158081049065459e-08
SPY20260621P00540000,ask,7.01,0.8453235982080384,success,,29,1e-06,5.0,-1.205045041530184e-07
SPY20260621C00560000,bid,45.5,0.5716085629444664,success,,29,1e-06,5.0,1.9087678992946167e-08
SPY20260621C00560000,mid,47.7,0.6641217331615779,success,,29,1e-06,5.0,1.2951237238212343e-07
SPY20260621C00560000,ask,49.9,0.7499114821662588,success,,29,1e-06,5.0,2.2159000678811935e-07
SPY20260621P00560000,bid,7.35,0.668121483422829,success,,29,1e-06,5.0,7.678672808708598e-08
SPY20260621P00560000,mid,7.7,0.6820824809986278,success,,27,1e-06,5.0,1.929197246397507e-09
SPY20260621P00560000,ask,8.05,0.6958965904073364,success,,29,1e-06,5.0,-8.478444968318399e-08
SPY20260621C00580000,bid,27.93,0.46833914068243854,success,,29,1e-06,5.0,-5.618566945031489e-09
SPY20260621C00580000,mid,28.8,0.49803768916915914,success,,29,1e-06,5.0,-2.4092212314030803e-07
SPY20260621C00580000,ask,29.67,0.5273144417461959,success,,29,1e-06,5.0,-1.466359407231721e-07
SPY20260621C00600000,bid,9.75,0.2804400990884509,success,,29,1e-06,5.0,-2.188439225392358e-07
SPY20260621C00600000,mid,9.9,0.2848662273655366,success,,29,1e-06,5.0,-3.8660767032183685e-08
SPY20260621C00600000,ask,10.05,0.28929235564262235,success,,29,1e-06,5.0,1.1505796848609862e-07
SPY20260621P00600000,bid,9.75,0.2946529169248361,success,,29,1e-06,5.0,2.67459199676523e-07
SPY20260621P00600000,mid,9.9,0.29907904520192186,success,,29,1e-06,5.0,1.6572702143946572e-07
SPY20260621P00600000,ask,10.05,0.30350517347900763,success,,29,1e-06,5.0,-1.352634519946605e-07
